4 	[#6](:[#6]:1:[#6]:[#6](-[#8]):[#6]:[#6]:[#6]:1):[#6]:[#6]-[#6]-[#6]-[#6](-[#6]-[#6](-[#6])-[#6]-[#6])-[#6]
4 	[#6][CX3H1](=[SX1])
4 	[SX2H1][CX3](=[SX1])[NX3]([#6])([#6])
4 	[NX3]([#6])([#6])[SX4](=[OX1])(=[OX1])[OX2][#6]
4 	[#6](-[#6](-[#7](-[#6]-[#6]-[#6](-[#8]-[#6])=[#8])-[#6])=[#8])-[#6]-[#8]-[#6]
4 	[#7](-[#6]-[#6]-[#6]-[#7]-[#6]-[#6]-[#6]-[#6])-[#6](-[#6]-[#6]=[#8])-[#6]:1:[#6]:[#6]:[#6]:[#6]:[#6]:1
4 	[#6]-[#6](-[#7](-[#6]-[#6]-[#7]-[#6]-[#6](-[#6]-[#6]-[#6])-[#6])-[#6])-[#6]-[#6]
4 	[#6]-[#8]-[#6]:[#6](-[#6]):[#6](-[#6]-[#8]-[#6]-[#6]):[#8]
4 	[#6][OX2][CX3](=[OX1])[OX2][CX3](=[OX1])[OX2][#6]
4 	[#6]:[#7]:[#6]-[#6]:[#6]:[#6]:[#6](:[#6]:[#6]:[#6]:[#6]:[#6])-[#8]
4 	[#6](:[#6](-[#6]):[#7]-[#6]:1:[#6]:[#6]:[#6]:[#6](:[#6]:1):[#7]:[#6]:[#6]):[#6]
5 	[#6][NX3H1][SX4](=[OX1])(=[OX1])[OX2H1]
5 	[NX3]([#6])([#6])[CX3](=[SX1])[NX3H2]
5 	[#6]-[#7]-[#6](-[#6](-[#6]-[#7](-[#6]-[#6]-[#6](-[#6])-[#6]-[#6])-[#6])-[#6]-[#6]-[#6])-[#6]
5 	[ClX1][SX4](=[OX1])(=[OX1])[OX2][#6]
5 	[FX1][SX4](=[OX1])(=[OX1])[OX2][#6]
5 	[#6]-[#7](-[#6]-[#6]-[#6]-[#6])-[#6]-[#6]-[#6]-1-[#6]-[#6](-[#6]-[#6](-[#6]-1)-[#6])-[#6]
5 	[#6][CX3](=[OX1])[CX4H2][CX3H1](=[OX1])
5 	[#8]-[#6](-[#6]:1:[#6]:[#6]:[#6]:[#6]:[#6]:1-[#16](=[#8])(=[#8])-[#6])=[#8]
5 	[CX3]=[CX3][CX3]=[CX3][CX3]=[CX3][CX3]=[CX3][CX3](=[OX1])[OX2H1]
